Place,TravelCost,StayCost,SightseeingCost,TotalCost
Kolhapur,2164,11187,3948,17299
Chennai,2981,5098,4462,12541
Bikaner,9187,4999,2966,17152
Haridwar,2441,2294,4938,9673
Hampi,9102,8830,4680,22612
Kodaikanal,2425,1629,2056,6110
Ajanta,4276,7787,4291,16354
Kodaikanal,6406,10291,4361,21058
Rishikesh,2945,2259,1974,7178
Orchha,9075,10698,935,20708
Khajuraho,9978,9206,3244,22428
Pune,3711,10604,2141,16456
Orchha,9871,11549,2992,24412
Roing,5195,6964,1153,13312
Mawsynram,5781,3115,3117,12013
Along,2493,7237,4516,14246
Nagpur,4659,9108,4288,18055
Jorhat,8348,6266,4189,18803
Ellora,4481,1507,1649,7637
Orchha,8564,3914,4208,16686
Mawsynram,4387,1880,2166,8433
Dirang,8368,11171,1968,21507
Coorg,5487,10091,3994,19572
Kalimpong,5340,10044,2630,18014
Puri,4894,6588,3924,15406
Pelling,7961,2331,4844,15136
Chitrakoot,8301,4595,4819,17715
Gangtok,2943,2028,4329,9300
Agra,3356,4803,4109,12268
Bundi,4161,10831,4632,19624
Diu,5614,11781,577,17972
Rajasthan,6483,10462,3412,20357
Jabalpur,3522,11510,3423,18455
Jabalpur,9854,8889,3879,22622
Bangalore,4718,7773,3163,15654
Chitrakoot,6607,7714,4078,18399
Jaisalmer,6462,11643,1182,19287
Lonavala,9670,11001,907,21578
Kanyakumari,5069,5992,1693,12754
Kovalam,8889,11895,2798,23582
Manali,1554,11789,3790,17133
Imphal,5049,3489,4446,12984
Kanyakumari,3606,5879,4557,14042
Sikkim,3927,10403,1913,16243
Bodh Gaya,4213,5401,4842,14456
Chittorgarh,6468,11880,4202,22550
Ziro,4460,10925,1578,16963
Shillong,5610,6537,4653,16800
Kodaikanal,2758,3134,1743,7635
Munnar,9930,2493,2654,15077
Manali,4137,10015,3724,17876
Chitrakoot,4658,3191,2606,10455
Varanasi,3998,2749,4572,11319
Coorg,3537,11331,890,15758
Udaipur,6168,5748,4202,16118
Pondicherry,2781,4544,2264,9589
Bikaner,2306,7999,1483,11788
Bikaner,3662,4962,1770,10394
Darjeeling,3812,4330,618,8760
Tuting,9902,10675,1027,21604
Kaziranga,2701,4263,1377,8341
Jaisalmer,4670,9263,1591,15524
Ellora,6170,4923,1938,13031
Ellora,6426,9903,572,16901
Cherrapunji,2113,11710,3368,17191
Along,9740,6886,2640,19266
Guwahati,5243,8275,4951,18469
Lonavala,5056,11212,4093,20361
Jaipur,9129,4793,814,14736
Varanasi,9374,9827,1455,20656
Bhopal,5739,10427,3070,19236
Nalanda,9874,9448,2877,22199
Amarkantak,2865,2197,4646,9708
Mussoorie,7957,7682,4545,20184
Mussoorie,2876,7629,1381,11886
Agra,5632,3352,670,9654
Alibag,9183,7435,680,17298
Mussoorie,8083,6897,2246,17226
Diu,4866,9773,2449,17088
Gwalior,6925,8515,4343,19783
Ajanta,4869,5839,3510,14218
Jorhat,5706,6967,2749,15422
Kolhapur,3180,11049,908,15137
Mechuka,1210,7642,1324,10176
Jaisalmer,1612,3145,4172,8929
Indore,5286,10638,3725,19649
Bikaner,7503,11777,1022,20302
Andaman,9887,10390,4381,24658
Nalanda,1060,9508,4732,15300
Roing,9080,9573,2616,21269
Gwalior,8842,3420,3125,15387
Mawsynram,7146,8209,2458,17813
Alleppey,9498,3875,4198,17571
Pondicherry,3953,1965,3233,9151
Khajuraho,8596,11580,549,20725
Aurangabad,3375,1880,4186,9441
Patna,4684,7496,1468,13648
Pune,3464,8850,4848,17162
Roing,9049,4082,2390,15521
Kovalam,8919,7960,1520,18399
Diu,1568,10038,4128,15734
Bodh Gaya,6022,5917,1345,13284
Kovalam,5312,4629,2384,12325
Ajanta,1896,10545,4382,16823
Pune,5499,3089,3135,11723
Diu,5029,11320,3541,19890
Siliguri,8563,9187,1845,19595
Pondicherry,7941,7947,4284,20172
Chitrakoot,5263,3933,3694,12890
Ziro,8845,6634,4870,20349
Jabalpur,8296,4698,2573,15567
Haridwar,4258,9957,1997,16212
Nashik,7101,2471,4903,14475
Rourkela,8337,4049,4303,16689
Khonsa,8801,9421,1072,19294
Khandala,1896,4203,3799,9898
Puri,7063,1848,2782,11693
Satara,9451,9742,1774,20967
Satara,6072,9214,2387,17673
Diu,6624,2601,1725,10950
Haridwar,5209,11285,3703,20197
Khajuraho,5152,11123,3800,20075
Puri,7268,8552,3187,19007
Kovalam,9845,4811,1320,15976
Delhi,3180,10621,1237,15038
Nainital,4366,2283,2340,8989
Bodh Gaya,8680,5677,4115,18472
Sikkim,3774,6904,1087,11765
Guwahati,6381,8694,2580,17655
Solapur,9274,10969,1617,21860
Ratnagiri,5503,11933,3812,21248
Jorhat,3332,5524,4780,13636
Siliguri,3049,5425,1713,10187
Puri,9115,2706,2171,13992
Mussoorie,2824,8254,1440,12518
Khajuraho,6544,8820,2710,18074
Tezpur,8903,11526,3273,23702
Guwahati,1560,8450,2362,12372
Pune,8803,5939,2173,16915
Pondicherry,8084,4866,989,13939
Aizawl,9192,10076,2962,22230
Lakshadweep,3165,1599,2222,6986
Alleppey,1201,6641,4359,12201
Solapur,2798,4295,3031,10124
Leh,4885,7232,2943,15060
Jabalpur,4674,3728,3844,12246
Ziro,4993,11774,2326,19093
Pune,5732,8770,1705,16207
Nalanda,2340,8280,1483,12103
Tuting,5791,6201,4901,16893
Mahabalipuram,5179,6156,4897,16232
Chennai,5667,5621,3775,15063
Aizawl,4526,8226,874,13626
Cuttack,4105,8904,3781,16790
Zemithang,9676,4301,3716,17693
Rajasthan,8544,8487,844,17875
Kolhapur,2770,6907,3235,12912
Leh,4088,5642,2247,11977
Patna,4494,6725,623,11842
Dirang,8120,5706,1320,15146
Orchha,2525,7584,3219,13328
Imphal,4462,9706,4358,18526
Jabalpur,1452,6435,4756,12643
Jorhat,6822,7561,776,15159
Puri,2899,11432,1227,15558
Jabalpur,8000,9418,3766,21184
Patna,1720,6152,1260,9132
Bhubaneswar,8809,7924,4499,21232
Shimla,4067,1609,3382,9058
Ranthambore,7486,10459,3772,21717
Chitrakoot,7345,1867,4360,13572
Zemithang,1984,6044,4758,12786
Mahabalipuram,8156,3197,1636,12989
Roing,1374,10428,3122,14924
Ooty,7701,11453,1966,21120
Rourkela,9056,5951,3817,18824
Udaipur,1251,8407,2369,12027
Nainital,5630,2368,1651,9649
Coorg,1157,9081,2303,12541
Lakshadweep,6596,8260,4375,19231
Bangalore,9433,9079,1208,19720
Pondicherry,1622,2791,1497,5910
Sanchi,1353,5032,1511,7896
Rajasthan,2132,9176,4429,15737
Siliguri,8338,5428,4697,18463
Delhi,7115,9608,2627,19350
Tuting,3792,8241,4472,16505
Bangalore,3712,7376,2325,13413
Mumbai,6450,2720,2672,11842
Daman,9618,8244,4132,21994
Bomdila,5630,4699,2832,13161
Guwahati,8010,11668,4685,24363
Konark,4398,3140,3686,11224
Varanasi,5329,3050,3844,12223
Darjeeling,7431,5615,699,13745
Dirang,9936,11432,781,22149
Roing,3195,10717,3696,17608
Kanyakumari,1517,3552,4687,9756
Bangalore,2348,2159,1153,5660
Gwalior,4408,2985,1808,9201
Nalanda,6895,10599,2408,19902
Satara,3824,7078,2942,13844
Rishikesh,6890,2085,2678,11653
Darjeeling,1238,7918,3217,12373
Leh,3846,11009,586,15441
Nalanda,8743,10947,2330,22020
Mechuka,2346,10695,4908,17949
Shillong,8209,2970,1515,12694
Imphal,4718,7276,3994,15988
Tezpur,6648,9811,3489,19948
Mechuka,9570,1735,3107,14412
Tezpur,4997,9056,1086,15139
Amritsar,5124,10256,1600,16980
Pune,6989,3665,1181,11835
Bundi,1410,7910,4029,13349
Khajuraho,5571,4465,2506,12542
Tuting,1381,6637,580,8598
Leh,1990,10322,4200,16512
Bikaner,8100,1522,1157,10779
Tawang,4213,5682,2600,12495
Shirdi,9591,11030,3648,24269
Gwalior,6674,11387,2944,21005
Kalimpong,1645,10542,4374,16561
Patna,5709,4317,4394,14420
Zemithang,7135,10557,2306,19998
Khonsa,4603,10287,3247,18137
Goa,5199,2326,2364,9889
Mussoorie,9205,7536,3840,20581
Daman,1966,4902,2911,9779
Patna,1734,2924,4193,8851
Bodh Gaya,2691,8849,2619,14159
Along,5313,2045,4180,11538
Kolhapur,1719,11413,1784,14916
Tawang,7821,10778,3640,22239
Hyderabad,8993,8824,3235,21052
Rishikesh,8193,3555,3822,15570
Nalanda,1970,5525,4365,11860
Jaipur,2801,1833,3272,7906
Tawang,1198,5774,1748,8720
Aizawl,7787,11296,4425,23508
Indore,8796,10022,3803,22621
Cherrapunji,1175,8387,1982,11544
Hyderabad,7429,5535,4997,17961
Pelling,3042,11917,532,15491
Pondicherry,3517,8174,570,12261
Tezpur,8033,11847,1710,21590
Diu,1825,2027,3032,6884
Nashik,7563,4350,2083,13996
Alleppey,3292,6620,2109,12021
Imphal,5909,5834,857,12600
Amarkantak,7506,3852,1459,12817
Ranthambore,2538,8199,1426,12163
Mahabalipuram,3855,5416,4934,14205
Satara,8740,8527,1763,19030
Udaipur,6332,2247,3291,11870
Mahabalipuram,4148,8431,1811,14390
Amritsar,5582,1803,1532,8917
Jabalpur,9370,6567,1060,16997
Kolkata,7970,5257,4133,17360
Mechuka,3882,6729,1464,12075
Ranthambore,3363,10849,1576,15788
Ooty,5397,8128,1408,14933
Roing,6506,11564,4917,22987
Ellora,1993,6208,4053,12254
Kanyakumari,2996,9114,809,12919
Siliguri,9298,3752,1379,14429
Bomdila,2291,3347,3612,9250
Chittorgarh,9039,9549,944,19532
Khajuraho,8135,7543,4510,20188
Goa,4787,3236,1192,9215
Shimla,1794,10695,860,13349
Konark,9901,5433,2496,17830
Varanasi,5921,4090,3944,13955
Chitrakoot,1319,2933,2039,6291
Agra,2100,9930,1727,13757
Nashik,5893,6184,3757,15834
Solapur,8502,5816,1931,16249
Aurangabad,7905,7883,4354,20142
Ooty,3844,8259,4304,16407
Bundi,8088,3356,3891,15335
Kodaikanal,6645,3531,4516,14692
Bomdila,8742,8492,2585,19819
Jorhat,1062,8119,885,10066
Khajuraho,1665,4147,4129,9941
Cuttack,4041,9066,2973,16080
Nagpur,5404,5426,4764,15594
Orchha,6136,9068,1949,17153
Jaipur,8892,8976,1338,19206
Bikaner,7042,9143,4773,20958
Daman,7341,11235,579,19155
Bikaner,7361,7300,4497,19158
Konark,5430,8055,4823,18308
Shillong,5934,6205,3098,15237
Aurangabad,8452,7268,4083,19803
Kalimpong,1213,11192,3974,16379
Goa,6627,5935,4875,17437
Alibag,9722,3981,3792,17495
Jorhat,2345,9594,2601,14540
Zemithang,2758,7157,3205,13120
Pelling,3157,3456,2646,9259
Gangtok,2088,4949,2601,9638
Shillong,3560,3135,1736,8431
Agra,3897,8159,1324,13380
Lonavala,3112,3385,3691,10188
Goa,7809,2334,2367,12510
Manali,1720,3141,2082,6943
Udaipur,4384,10973,746,16103
Rishikesh,8840,4540,1388,14768
Ooty,4177,4296,1312,9785
Along,8949,1586,987,11522
Nalanda,7035,4457,4098,15590
Rajgir,2510,4722,626,7858
Kovalam,2754,4923,3622,11299
Cherrapunji,5362,3083,576,9021
Hampi,2625,11409,2473,16507
Bomdila,7070,8912,3203,19185
Sanchi,7612,1548,1049,10209
Jaisalmer,9779,10642,4446,24867
Mechuka,9183,4115,604,13902
Bangalore,1739,2216,1705,5660
Imphal,8226,10877,1297,20400
Amarkantak,8231,5072,3161,16464
Kodaikanal,6468,7847,4725,19040
Ooty,4706,6153,2244,13103
Ziro,4956,4122,4921,13999
Rajgir,9515,5146,2092,16753
Chennai,5760,11845,4501,22106
Ziro,6600,3788,1768,12156
Jaipur,5438,2402,2267,10107
Mechuka,1290,11935,2234,15459
Cuttack,4529,10598,926,16053
Pelling,1009,7368,2056,10433
Goa,2136,2462,2272,6870
Tezpur,5254,7239,897,13390
Jaisalmer,6857,9337,1056,17250
Mumbai,5663,10861,4659,21183
Guwahati,4842,1565,2779,9186
Pelling,6437,6449,4191,17077
Jaisalmer,3538,2338,3462,9338
Bikaner,2486,6393,1400,10279
Pasighat,4334,2448,1461,8243
Khandala,7984,8237,2640,18861
Cuttack,2089,3364,812,6265
Kanyakumari,9067,8530,950,18547
Mussoorie,7000,11289,4025,22314
Mahabalipuram,5798,2960,751,9509
Agra,4261,8859,2667,15787
Chitrakoot,4239,3913,4166,12318
Agra,1719,9646,4484,15849
Khandala,4817,10149,2749,17715
Cuttack,5321,2055,2668,10044
Patna,1901,9828,3409,15138
Kalimpong,6302,11252,2908,20462
Tezpur,8164,6756,4206,19126
Itanagar,9985,4347,1285,15617
Jaisalmer,1296,11499,2297,15092
Mussoorie,2781,7513,2697,12991
Kolhapur,3980,5718,4363,14061
Goa,5417,7662,3077,16156
Kolhapur,1111,7402,1805,10318
Nagpur,1386,3025,710,5121
Shirdi,8452,10256,4551,23259
Udaipur,7512,6817,1795,16124
Imphal,9072,3862,1312,14246
Bodh Gaya,5815,4227,708,10750
Aurangabad,9585,2371,4714,16670
Jorhat,1971,2692,625,5288
Agra,4834,1543,2100,8477
Shirdi,5453,6317,4037,15807
Itanagar,3666,10920,1354,15940
Aurangabad,4340,8324,4673,17337
Khajuraho,2493,10807,1062,14362
Mount Abu,6547,10872,1135,18554
Alibag,9868,8521,4794,23183
Rajasthan,5330,11320,3178,19828
Mussoorie,7790,8898,2622,19310
Konark,5285,3697,2879,11861
Puri,8656,6649,4090,19395
Guwahati,4816,11079,3699,19594
Bhopal,2672,1529,2850,7051
Tezpur,8666,4237,1740,14643
Patna,7767,11365,816,19948
Satara,9706,4614,3833,18153
Jaipur,2288,3478,1668,7434
Khandala,9545,11231,2683,23459
Goa,8215,4997,4355,17567
Lonavala,1615,9469,4387,15471
Kodaikanal,7048,7530,1812,16390
Bikaner,6677,10706,1675,19058
Kovalam,6315,11944,3030,21289
Alleppey,9603,6704,4986,21293
Guwahati,5449,8367,3877,17693
Bodh Gaya,4958,9545,3755,18258
Lakshadweep,6862,2475,613,9950
Dirang,1924,10508,3730,16162
Mahabalipuram,9868,5329,1608,16805
Bundi,4997,4283,531,9811
Aizawl,1970,11803,4823,18596
Aurangabad,4962,4618,2755,12335
Tawang,1333,1732,2765,5830
Amritsar,7732,11606,3383,22721
Satara,5637,2671,1287,9595
Ellora,7170,10112,1037,18319
Amarkantak,1002,8088,1227,10317
Shillong,8391,3520,3543,15454
Rajgir,9661,3391,3759,16811
Amritsar,7760,1941,1724,11425
Goa,1330,5563,4649,11542
Goa,8305,3481,3307,15093
Kolkata,3361,2253,2622,8236
Along,4809,6455,4410,15674
Pelling,7319,8916,714,16949
Kolhapur,7791,11501,4878,24170
Bhopal,4591,6650,3041,14282
Lakshadweep,3095,6126,4360,13581
Nagpur,4520,11628,2723,18871
Roing,6327,7548,3007,16882
Alibag,8908,11429,580,20917
Diu,7695,3686,1567,12948
Kodaikanal,8054,8317,4669,21040
Jabalpur,6605,8289,2197,17091
Haridwar,6146,10262,4963,21371
Tezpur,6283,2150,1992,10425
Ajanta,9856,11725,4451,26032
Coorg,1125,8109,2653,11887
Nagpur,8060,4229,1482,13771
Agra,2981,3331,1053,7365
Pelling,9703,4959,4546,19208
Lonavala,8838,11612,4380,24830
Bundi,7080,1624,2644,11348
Ajanta,5626,10789,2477,18892
Kanyakumari,1212,11347,4460,17019
Patna,9555,5451,3550,18556
Shillong,9702,10046,1007,20755
Shillong,4920,7437,3827,16184
Nalanda,1089,6580,743,8412
Tawang,2928,6059,1395,10382
Chittorgarh,4801,10136,4849,19786
Ziro,6616,7450,3326,17392
Chittorgarh,1678,6261,894,8833
Bodh Gaya,9671,9244,4001,22916
Solapur,6020,4678,1377,12075
Siliguri,1322,2652,2686,6660
Jaisalmer,7517,2164,3766,13447
Shimla,1565,10341,3638,15544
Alibag,4058,9979,2309,16346
Amritsar,1209,7084,1028,9321
Daman,3429,3035,3730,10194
Shirdi,3017,5416,782,9215
Bhopal,2773,10040,1262,14075
Khajuraho,4541,8668,4438,17647
Satara,7831,9526,4581,21938
Guwahati,1215,10013,800,12028
Siliguri,3605,7039,3585,14229
Kodaikanal,2093,4421,3819,10333
Chennai,7025,8457,4300,19782
Kaziranga,7316,8063,1132,16511
Zemithang,1520,10041,680,12241
Jaisalmer,9887,11567,2631,24085
Khandala,5698,2306,3167,11171
Mahabalipuram,9452,10472,3084,23008
Agra,5523,11401,3196,20120
Kolkata,7267,3272,4030,14569
Majuli,6908,4443,1621,12972
Shimla,5740,8397,2974,17111
Tezpur,8450,4534,3534,16518
Coorg,9910,5421,2955,18286
Pondicherry,3648,2533,765,6946
Aizawl,1731,5176,4050,10957
Kodaikanal,6876,11387,707,18970
Pondicherry,3146,4610,4518,12274
Nainital,7289,5604,4749,17642
Majuli,5259,2835,4473,12567
Mumbai,6352,3035,4865,14252
Mount Abu,1193,6922,1897,10012
Indore,2350,2342,4665,9357
Pune,4669,3948,2165,10782
Aurangabad,7234,9167,2092,18493
Agra,7083,11044,1009,19136
Chittorgarh,6902,5149,4891,16942
Mumbai,5180,2230,2430,9840
Tezpur,7512,3412,1077,12001
Mechuka,3261,5793,2507,11561
Pune,7089,7339,4534,18962
Ooty,3868,4361,4617,12846
Khajuraho,6599,2488,4740,13827
Aurangabad,3710,10227,3619,17556
Jorhat,5467,3716,1736,10919
Pune,6263,9019,3905,19187
Chitrakoot,2150,8863,1235,12248
Haridwar,2314,5790,3737,11841
Dirang,1836,9462,1374,12672
Ziro,2644,6749,1447,10840
Aurangabad,5139,2730,4138,12007
Konark,7203,9183,3629,20015
Dirang,4533,6109,769,11411
Guwahati,5770,4012,4486,14268
Chennai,3683,5496,1409,10588
Goa,5986,8180,4056,18222
Gwalior,5829,3292,4867,13988
Shirdi,3348,8919,2023,14290
Ooty,5111,8066,4885,18062
Jaipur,6419,4218,3104,13741
Mechuka,6580,2636,2911,12127
Munnar,9991,10301,1801,22093
Haridwar,9605,6397,2790,18792
Bodh Gaya,2937,4562,2477,9976
Shillong,5483,3433,4823,13739
Nainital,4637,3979,2279,10895
Jaisalmer,8154,10859,4966,23979
Delhi,2388,11221,1451,15060
Nagpur,8292,11299,4877,24468
Bikaner,3175,7627,1346,12148
Kolhapur,3703,2114,1298,7115
Itanagar,4250,3188,1735,9173
Bundi,7201,7036,788,15025
Chennai,4127,4170,4682,12979
Nalanda,6145,3234,2557,11936
Lakshadweep,3165,7165,848,11178
Jaisalmer,5223,11679,653,17555
Lakshadweep,8930,7769,3679,20378
Puri,1597,4750,1085,7432
Orchha,7261,5213,2823,15297
Amarkantak,2633,10757,2418,15808
Khonsa,2061,6026,3521,11608
Cherrapunji,4944,7002,1495,13441
Pondicherry,3592,8874,1553,14019
Nashik,3298,1685,1710,6693
Rajgir,1601,1553,3767,6921
Chennai,4987,6163,4648,15798
Jabalpur,5172,5406,1893,12471
Bhubaneswar,2771,7945,4397,15113
Pondicherry,8697,10679,1960,21336
Orchha,8364,1563,4238,14165
Khajuraho,8747,2353,4460,15560
Satara,2101,10568,568,13237
Bikaner,9063,9947,4126,23136
Chittorgarh,2259,11392,2320,15971
Ellora,5671,2846,783,9300
Diu,5223,9833,2041,17097
Tezpur,6426,8002,3667,18095
Tuting,4347,4609,4580,13536
Munnar,3214,9103,4475,16792
Ziro,5541,8372,1170,15083
Alleppey,1741,2474,1965,6180
Gwalior,5725,2125,1346,9196
Ellora,2419,6991,3600,13010
Gangtok,4070,10260,995,15325
Daman,5650,8069,4276,17995
Sikkim,6321,3556,3313,13190
Bodh Gaya,6253,4848,511,11612
Bhubaneswar,8865,3860,2899,15624
Khandala,9666,2857,4711,17234
Darjeeling,2531,10569,4043,17143
Sikkim,9692,8510,1340,19542
Aurangabad,9701,9658,3944,23303
Tawang,2796,8719,4650,16165
Orchha,5703,5532,4901,16136
Amarkantak,1192,4258,3273,8723
Chitrakoot,8340,1905,3957,14202
Ziro,6113,11215,1288,18616
Shimla,8240,6988,2182,17410
Nagpur,4176,9579,1416,15171
Cherrapunji,6302,1506,4603,12411
Aurangabad,7193,3600,2370,13163
Amarkantak,8020,1790,631,10441
Ooty,9682,7425,2314,19421
Itanagar,6349,5684,2331,14364
Kovalam,1083,4037,4350,9470
Itanagar,5444,4360,2796,12600
Pelling,7071,9677,928,17676
Tuting,8740,6216,841,15797
Alleppey,2939,5141,2472,10552
Itanagar,3292,1890,868,6050
Chittorgarh,4082,11688,1264,17034
Orchha,3829,5840,4954,14623
Daman,4375,4931,4549,13855
Alleppey,1816,4552,1843,8211
Daman,4707,5829,3047,13583
Ajanta,6640,5364,892,12896
Hampi,5363,7838,2052,15253
Gwalior,3797,6192,2349,12338
Delhi,5752,10105,3822,19679
Munnar,4364,9495,1407,15266
Delhi,1221,1623,4761,7605
Nagpur,2173,4455,4438,11066
Siliguri,7835,8056,1086,16977
Jorhat,1372,5857,1524,8753
Nashik,1270,4409,3397,9076
Shillong,3348,7028,522,10898
Imphal,5846,5587,4518,15951
Alleppey,3596,2361,3599,9556
Imphal,8680,11792,4433,24905
Along,8754,2525,3149,14428
Pasighat,9399,7231,4010,20640
Varanasi,4224,8093,2536,14853
Shimla,3905,11475,1264,16644
Dirang,4793,6257,850,11900
Gangtok,3505,11975,554,16034
Diu,4990,9681,2098,16769
Siliguri,6453,7419,543,14415
Tuting,1790,7811,3896,13497
Bomdila,1085,7693,2622,11400
Mawsynram,1424,1612,4111,7147
Konark,3517,9643,4846,18006
Pune,3351,3730,2469,9550
Jabalpur,9849,2368,2515,14732
Shimla,6690,6777,2969,16436
Puri,5508,2360,4172,12040
Dirang,3956,9150,2670,15776
Mechuka,4035,8436,2885,15356
Gangtok,4493,3804,2071,10368
Rajasthan,3477,11426,1390,16293
Kanyakumari,4593,11156,4041,19790
Alleppey,9315,5525,4630,19470
Patna,4621,2666,3712,10999
Bundi,2658,2888,4392,9938
Leh,9684,11085,1034,21803
Kolhapur,4112,9136,1486,14734
Pelling,4485,3728,810,9023
Zemithang,2146,8118,2526,12790
Itanagar,2675,9767,2378,14820
Shimla,2812,4241,4077,11130
Mechuka,6640,1529,1596,9765
Pune,9986,4789,4780,19555
Tezpur,7674,11827,2881,22382
Rajgir,1376,11918,4453,17747
Nashik,5404,6931,3834,16169
Bundi,3654,8767,1143,13564
Tuting,4946,3015,3725,11686
Sikkim,7663,6178,990,14831
Bomdila,7629,6484,1910,16023
Bundi,9788,10850,3530,24168
Dirang,5934,11171,2990,20095
Udaipur,4294,4211,1821,10326
Zemithang,6541,6952,4070,17563
Mawsynram,1408,6623,4489,12520
Bomdila,5625,9839,3454,18918
Shirdi,6357,7094,3512,16963
Bomdila,5549,11543,4993,22085
Andaman,8392,6662,2988,18042
Mawsynram,8930,7279,677,16886
Aurangabad,5431,11625,4593,21649
Bundi,3450,9536,2642,15628
Dirang,2094,4161,3086,9341
Kolkata,7591,4802,3672,16065
Itanagar,1958,10749,3342,16049
Puri,3094,4018,4126,11238
Aizawl,2821,1775,2128,6724
Bikaner,4599,4863,502,9964
Jaipur,5328,6732,4355,16415
Satara,7585,1810,4875,14270
Kalimpong,7301,11305,761,19367
Khandala,7649,6187,1582,15418
Shimla,3979,10323,881,15183
Chitrakoot,6446,11752,4616,22814
Gangtok,3964,4378,3731,12073
Konark,2786,10289,4583,17658
Nalanda,2579,7941,1338,11858
Nainital,8475,9303,1311,19089
Coorg,1930,3854,3527,9311
Bangalore,8519,11083,3689,23291
Hyderabad,4415,3543,4590,12548
Ziro,3967,7928,2861,14756
Kaziranga,4211,4700,1240,10151
Aizawl,2691,5805,1196,9692
Goa,5486,11031,3124,19641
Khajuraho,9106,7277,858,17241
Nainital,6532,9111,639,16282
Ziro,3084,4978,2143,10205
Kanyakumari,2808,7324,1309,11441
Bhopal,7705,7005,1802,16512
Puri,4591,10086,3455,18132
Kolhapur,7378,1896,1017,10291
Hampi,9181,6167,783,16131
Rajasthan,4294,2762,806,7862
Jaipur,8372,8630,4869,21871
Aizawl,1326,8448,2890,12664
Munnar,5024,1986,4777,11787
Along,9064,2264,4772,16100
Mussoorie,2782,10289,1795,14866
Jaipur,1793,10814,3082,15689
Bundi,6297,2728,2215,11240
Lakshadweep,8952,10800,1681,21433
Jaisalmer,9206,11730,3967,24903
Ziro,4848,8587,3170,16605
Tawang,6416,10883,3486,20785
Majuli,5580,5157,3998,14735
Puri,2487,4296,706,7489
Khandala,6254,5850,2253,14357
Shirdi,1096,5994,1920,9010
Ratnagiri,9708,2768,782,13258
Kovalam,7362,7758,1327,16447
Shillong,9415,10508,4937,24860
Mechuka,7707,9158,4465,21330
Tawang,2842,6064,2379,11285
Kanyakumari,6989,3539,4185,14713
Sanchi,3202,3786,3094,10082
Mumbai,1623,7777,3915,13315
Chennai,8632,6285,4966,19883
Solapur,4714,2772,3298,10784
Amarkantak,9065,7886,1002,17953
Khajuraho,3478,4659,4381,12518
Kodaikanal,6904,9013,1383,17300
Satara,3198,2663,4274,10135
Chennai,3782,9398,1023,14203
Coorg,3996,9505,1877,15378
Nagpur,4617,7971,588,13176
Ratnagiri,7246,3634,605,11485
Kaziranga,1431,3502,4378,9311
Solapur,8780,3298,3155,15233
Dirang,7724,1573,809,10106
Andaman,2824,10458,4804,18086
Along,9627,5264,4691,19582
Kolhapur,9257,2441,2328,14026
Coorg,2277,3349,936,6562
Tawang,7961,6450,1233,15644
Kaziranga,2232,2576,2753,7561
Tuting,1206,4888,4537,10631
Roing,8919,1712,3543,14174
Along,7820,8927,4817,21564
Ellora,2312,3050,3130,8492
Coorg,9515,3528,4285,17328
Amarkantak,5997,3792,661,10450
Khajuraho,4748,3191,2169,10108
Chennai,6719,7428,3911,18058
Kovalam,3075,5349,2676,11100
Darjeeling,2767,9012,2669,14448
Ratnagiri,5490,4357,2928,12775
Leh,6250,6450,4402,17102
Chennai,3019,7345,1904,12268
Chennai,4900,11013,3380,19293
Ratnagiri,7631,4635,3774,16040
Coorg,3923,9716,4360,17999
Sanchi,2986,7404,3385,13775
Khandala,8560,4466,3958,16984
Nagpur,5934,4740,616,11290
Lonavala,8365,2088,2853,13306
Nalanda,9536,9370,1691,20597
Shillong,4906,4529,764,10199
Guwahati,4899,11579,1694,18172
Bodh Gaya,3908,5533,3868,13309
Indore,4004,9167,1968,15139
Bomdila,5748,2787,3621,12156
Lonavala,3096,2388,1903,7387
Alibag,7557,5539,2071,15167
Kaziranga,8400,10828,1664,20892
Satara,6436,9672,3925,20033
Along,3441,10389,1052,14882
Rajgir,6582,5901,571,13054
Nalanda,8517,10468,4497,23482
Shimla,6978,5691,1004,13673
Bundi,2694,2335,3389,8418
Bomdila,9656,2722,3131,15509
Mumbai,1819,3458,692,5969
Imphal,3420,10259,4497,18176
Satara,4451,8002,4404,16857
Mussoorie,4901,5692,2322,12915
Ratnagiri,4660,3835,728,9223
Imphal,3132,7344,1752,12228
Hyderabad,8515,2408,1478,12401
Lonavala,9683,10784,2071,22538
Kodaikanal,9648,8042,3504,21194
Haridwar,8292,5298,3853,17443
Patna,9900,3050,1422,14372
Ellora,1057,7115,1979,10151
Ajanta,6343,8773,1800,16916
Nainital,4628,4976,2864,12468
Goa,3673,4174,2719,10566
Khajuraho,5563,9439,3956,18958
Leh,1120,11014,2909,15043
Guwahati,1934,6861,661,9456
Shirdi,7710,10268,3009,20987
Itanagar,5615,4659,752,11026
Lakshadweep,6283,5115,590,11988
Hyderabad,3404,8070,1589,13063
Mumbai,3272,6612,3857,13741
Bikaner,2921,11162,617,14700
Patna,6081,6532,980,13593
Goa,5457,6194,4216,15867
Amritsar,2399,7542,4262,14203
Pondicherry,8195,3937,3516,15648
Siliguri,7225,6764,1617,15606
Dirang,1323,3019,1595,5937
Guwahati,5127,4048,3380,12555
Bhopal,5357,3604,4306,13267
Chittorgarh,7282,5529,884,13695
Coorg,8447,11102,4432,23981
Haridwar,9881,8983,4518,23382
